CIF Number,CustName,Address,Mobile,MartialStatus,Dependents,CustType,BirthDay,Sex,Organization,Job,Experience,Salary,Existing time,Credit Score
2464,Huỳnh Bá Tùng,"Giang Văn Minh, Quận 2, TP.HCM",+84991973614,Single,Yes,Organization,1992-03-02,Male,NAB Innovation Centre Vietnam,ERP ConsultantSolution Architect,3,30150000,8,540
2465,Võ Bình An,"Tân Thới Hiệp 13, Quận 12, TP.HCM",+84915098361,Single,No,Individual,1980-10-09,Male,N/A,DevOps,4,30092000,8,420
2466,Phạm Ðại Hành,"Nguyễn Thị Định, Quận 2, TP.HCM",+842771429366,Married,Yes,Organization,1971-12-05,Male,"Niteco Vietnam Co., Ltd",Database Engineer,6,60575000,8,672
2467,Dương Lam Phương,"An Phú Đông 3, Quận 12, TP.HCM",+84990967282,Married,Yes,Individual,1978-05-01,Male,N/A,Full-stack Developer,10,52700000,2,526
2468,Trương Giang Lam,"Đường số 4, Quận 4, TP.HCM",+842770347433,Single,No,Individual,1978-01-13,Male,N/A,Embedded Engineer,2,17931000,9,512
2469,Trương Kim Khanh,"Nguyễn Đức Thuận, Quận Tân Bình, TP.HCM",+84359964667,Single,No,Organization,1958-07-17,Female,Absolute Software (Vietnam) Ltd,QA-QC,6,33826000,2,788
2470,Huỳnh Bình Dân,"Hoàng Văn Thụ, Quận 10, TP.HCM",+84991134903,Married,Yes,Organization,1969-10-17,Male,Bosch Global Software Technologies Company Limited,IT Manager,9,42013000,3,594
2471,Hồ Kim Quyên,"Đặng Nhữ Lâm, Nhà Bè, TP.HCM",+842357217711,Single,Yes,Individual,1978-01-20,Female,N/A,Business Intelligence AnalystData Scientist,6,43176000,7,825
2472,Bùi Việt Nhi,"Xuân Thủy, Quận 2, TP.HCM",+842726638662,Married,Yes,Organization,1983-03-27,Female,Bosch Global Software Technologies Company Limited,Game Developer,5,52174000,7,359
2473,Hoàng Quang Bửu,"Phạm Văn Xảo, Quận Tân Phú, TP.HCM",+84879759834,Married,Yes,Organization,1961-02-12,Male,SmartOSC,Blockchain Engineer,1,13461000,2,850
2474,Lê Mạnh Tuấn,"Đường D11, Quận Tân Phú, TP.HCM",+84996248213,Single,Yes,Organization,1985-05-04,Male,VNG Corporation,Back-end Developer,7,51888000,8,492
2475,Phan Thanh Vân,"Bùi Huy Bích, Quận 8, TP.HCM",+842772836849,Married,Yes,Organization,1984-03-29,Female,"Niteco Vietnam Co., Ltd",Game Developer,10,54924000,3,405
2476,Võ Kim Yến,"Vĩnh Lộc B, Bình Chánh, TP.HCM",+84765438071,Single,No,Organization,1995-12-02,Female,Tyme,IT Support,10,41213000,5,546
2477,Trương Hải Nguyên,"Ngô Quyền, Quận 5, TP.HCM",+842992347617,Married,Yes,Individual,1983-02-21,Male,N/A,Game Developer,4,34352000,3,427
2478,Nguyễn Nguyệt Anh,"Phạm Ngọc, Quận Tân Phú, TP.HCM",+84559800978,Married,Yes,Individual,1958-02-28,Female,N/A,System Engineer,6,44330000,5,631
2479,Trần Thục Oanh,"Khuông Việt, Quận 11, TP.HCM",+84916312687,Single,No,Individual,1989-04-06,Female,N/A,Project Manager,3,37418000,1,725
2480,Bùi Thu Huyền,"Đường số 5, Huyện Củ Chi, TP.HCM",+84971401118,Married,Yes,Individual,1989-01-31,Female,N/A,IT Manager,9,51702000,9,675
2481,Vũ Như Mai,"2 Đường số 52, Thành phố Thủ Đức, TP.HCM",+842976453948,Married,Yes,Organization,1962-01-31,Female,SmartOSC,ERP ConsultantSolution Architect,3,28808000,8,657
2482,Trương Diệu Lan,"Trường Sơn, Quận 10, TP.HCM",+842618395245,Married,Yes,Individual,1982-08-28,Female,N/A,Data Engineer,6,63035000,2,305
2483,Đỗ Minh Anh,"Đường Số 28A, Quận 6, TP.HCM",+842976351758,Married,Yes,Individual,1974-12-25,Male,N/A,Database Engineer,6,39578000,10,387
2484,Trương Lâm Vũ,"Đường số 17, Thành phố Thủ Đức, TP.HCM",+84899747536,Single,No,Organization,1956-05-06,Male,Employment Hero,Product Owner,2,17816000,6,780
2485,Dương Như Mai,"Bà Nhép, Huyện Củ Chi, TP.HCM",+84996258554,Single,Yes,Individual,1972-07-08,Female,N/A,Designer,8,38518000,8,535
2486,Vũ Thảo Ly,"Khánh Hội, Quận 1, TP.HCM",+84522517957,Married,Yes,Organization,1987-11-20,Female,VNG Corporation,Project Manager,10,52929000,5,464
2487,Ngô Tích Ðức,"Hồng Hà, Quận Phú Nhuận, TP.HCM",+84898865241,Married,Yes,Organization,1983-03-11,Male,"Niteco Vietnam Co., Ltd",IT Support,0,4992000,7,503
2488,Phan Khánh Hội,"Huyền Chân Công Chúa, Quận 1, TP.HCM",+84883680112,Single,Yes,Organization,1977-03-13,Male,Home Credit Vietnam,Business Intelligence AnalystData Scientist,9,59741000,10,429
2489,Trương Thái Dương,"Nguyễn Văn Tạo, Nhà Bè, TP.HCM",+84559298384,Married,Yes,Individual,1961-06-02,Male,N/A,DevOps,4,23008000,7,628
2490,Vũ Duy Ngôn,"Cây Cám, Quận Bình Tân, TP.HCM",+84915832667,Single,Yes,Organization,1976-04-21,Male,NAB Innovation Centre Vietnam,System Engineer,9,58166000,4,662
2491,Nguyễn An Khang,"Thẩm Mỹ, Quận Tân Phú, TP.HCM",+84978449334,Married,Yes,Organization,1961-10-19,Male,Absolute Software (Vietnam) Ltd,Back-end Developer,9,52662000,10,829
2492,Huỳnh Uyển Nhi,"An Bình, Quận 5, TP.HCM",+84896062861,Single,No,Individual,1986-06-06,Female,N/A,Mobile Developer,1,10349000,10,486
2493,Trương Oanh Thơ,"Nguyễn Văn Linh, Nhà Bè, TP.HCM",+842605561791,Single,Yes,Individual,1979-10-25,Female,N/A,QA-QC,7,48706000,5,478
2494,Dương Việt Khải,"Liên Tỉnh 5, Quận 8, TP.HCM",+842964475990,Single,No,Individual,1954-09-12,Male,N/A,Front-end Developer,4,34966000,9,755
2495,Vũ Hà Phương,"Dương Tử Giang, Quận 5, TP.HCM",+84829947811,Married,Yes,Individual,1973-11-14,Female,N/A,ERP ConsultantSolution Architect,8,56814000,3,535
2496,Trần Bích Liên,"Đường số 37, Quận 4, TP.HCM",+842738463652,Married,Yes,Organization,1962-07-04,Female,NFQ Asia,Data Engineer,9,44184000,3,828
2497,Lý Dã Lâm,"Chánh Hưng Nối Dài, Nhà Bè, TP.HCM",+84940386318,Married,Yes,Individual,1995-11-05,Female,N/A,Data Analyst,6,43555000,5,540
2498,Trương Nhật Nam,"Đường số 11, Quận Gò Vấp, TP.HCM",+842996537825,Single,No,Organization,1974-11-17,Male,NFQ Asia,Project Leader,10,72106000,10,464
2499,Đỗ Trang Tâm,"Đường số 6D, Bình Chánh, TP.HCM",+84897142887,Single,Yes,Organization,1962-01-12,Female,FPT IS,Project Leader,2,19003000,2,395
2500,Huỳnh Phương Chi,"Nguyễn Văn Tạo, Nhà Bè, TP.HCM",+842990189138,Single,Yes,Organization,1970-03-13,Female,SmartOSC,System Admin,4,32864000,10,695
2501,Dương Mai Thảo,"Đường số 50, Quận Bình Tân, TP.HCM",+84522699545,Married,Yes,Organization,1969-03-03,Female,GeoComply (GeoTech Hub Vietnam),IT Support,9,55075000,6,742
2502,Võ Vân Anh,"Trần Văn Nữa, Thành phố Thủ Đức, TP.HCM",+842577877747,Married,Yes,Individual,1953-08-17,Female,N/A,Cloud Engineer,4,28309000,1,502
2503,Lê Hoàng Minh,"Đường số 20, Quận 6, TP.HCM",+842753540104,Married,Yes,Organization,1974-07-05,Male,SmartOSC,Mobile Developer,5,32748000,9,818
2504,Đoàn Anh Hương,"TL 16, Quận 12, TP.HCM",+84559356795,Single,No,Organization,1973-08-02,Female,NAB Innovation Centre Vietnam,Tech Lead,1,11466000,3,716
2505,Vũ Thủy Linh,"Nam Long, Quận 9, TP.HCM",+842777725283,Single,Yes,Organization,1983-04-17,Female,NAB Innovation Centre Vietnam,DevSecOps Engineer,2,15079000,10,567
2506,Phạm Tường Vi,"Đường số 147, Quận 9, TP.HCM",+842903885077,Married,Yes,Individual,1997-09-03,Female,N/A,Helpdesk,3,33346000,1,734
2507,Lý Minh Minh,"Đường số 49, Quận Bình Tân, TP.HCM",+84946533122,Married,Yes,Organization,1966-05-30,Female,Employment Hero,System Engineer,0,4048000,7,645
2508,Dương Kim Ly,"Cây Gỗ, Huyện Củ Chi, TP.HCM",+842968315091,Married,Yes,Individual,1998-08-07,Female,N/A,Tech Lead,7,67161000,1,308
2509,Bùi Cao Phong,"Trường Sơn, Quận 10, TP.HCM",+84952915978,Single,No,Individual,1976-04-26,Male,N/A,Database Engineer,8,46052000,6,328
2510,Dương Quỳnh Trang,"Nguyễn Văn Lịch, Thành phố Thủ Đức, TP.HCM",+842559030402,Single,Yes,Individual,1968-07-27,Female,N/A,Cloud Engineer,2,15710000,2,544
2511,Trần Duy Thành,"Đường số 34, Quận 2, TP.HCM",+842058613974,Single,Yes,Organization,1993-01-03,Male,Absolute Software (Vietnam) Ltd,Product Owner,9,63712000,9,442
2512,Lê Vân Sơn,"Nguyễn Kiệm, Quận Gò Vấp, TP.HCM",+84919141735,Single,Yes,Organization,1964-10-13,Male,Home Credit Vietnam,Full-stack Developer,6,55683000,10,830
2513,Trần Thạch Tùng,"Đường TX 31, Quận 12, TP.HCM",+84896162242,Single,No,Individual,1978-11-02,Male,N/A,Database Engineer,6,35272000,1,795
2514,Huỳnh Sơn Hải,"Đường số 25, Quận 2, TP.HCM",+84898605437,Married,Yes,Organization,1988-10-22,Male,LG Electronics Development Vietnam (LGEDV),Cloud Engineer,1,11739000,7,326
2515,Trần Cẩm Vân,"Đường 26 Tháng 3, Quận Bình Tân, TP.HCM",+84974183246,Married,Yes,Organization,1990-02-12,Female,Hybrid Technologies,IT Manager,2,28722000,1,504
2516,Dương Việt Thắng,"Phan Xích Long, Quận 11, TP.HCM",+84998065858,Single,No,Organization,1981-06-10,Male,Trusting Social,Project Leader,3,33268000,4,527
2517,Đặng Ngọc Ẩn,"Cáo Bá Quát, Quận 1, TP.HCM",+842578148718,Single,Yes,Organization,1968-03-16,Male,LG Electronics Development Vietnam (LGEDV),Product Owner,6,46872000,6,420
2518,Đặng Như Khang,"Tân Chánh Hiệp 08, Quận 12, TP.HCM",+842934800018,Married,Yes,Organization,1970-07-11,Male,NFQ Asia,IT Consultant,10,59039000,8,446
2519,Lê Họa Mi,"Liên Ấp Hội Thạnh, Huyện Củ Chi, TP.HCM",+842909182896,Single,No,Individual,1983-09-14,Female,N/A,AI Engineer,1,14179000,0,698
2520,Võ Hạnh Nga,"Đường số 21, Bình Chánh, TP.HCM",+842714081961,Married,Yes,Organization,1973-09-22,Female,LG Electronics Development Vietnam (LGEDV),Product Owner,6,68638000,1,770
2521,Võ Khánh Ly,"Đường số 40, Quận 2, TP.HCM",+842779637442,Single,Yes,Individual,1959-06-07,Female,N/A,Product Manager,5,68800000,9,408
2522,Trương Thanh Toàn,"Nguyễn Văn Cừ, Quận 1, TP.HCM",+842994039468,Single,No,Individual,2002-11-19,Male,N/A,Back-end Developer,4,20837000,6,391
2523,Bùi Văn Tuyển,"Đường số 29, Quận 3, TP.HCM",+84984210600,Married,Yes,Individual,1992-08-06,Male,N/A,ERP ConsultantSolution Architect,9,50911000,9,397
2524,Phạm Sơn Quân,"Phan Văn Năm, Quận Bình Tân, TP.HCM",+842999407374,Single,Yes,Individual,1999-08-29,Male,N/A,IT Support,5,30274000,4,564
2525,Nguyễn Mỹ Xuân,"Đường số 6C, Bình Chánh, TP.HCM",+84939398626,Married,Yes,Individual,1956-09-25,Female,N/A,Tech Lead,9,40091000,4,485
2526,Hồ Mạnh Tuấn,"Đường số 25, Quận 3, TP.HCM",+84995190064,Married,Yes,Organization,1961-03-05,Male,FPT IS,Product Owner,8,35429000,7,734
2527,Trương Yên Sơn,"Tân Thành, Quận 11, TP.HCM",+84781444537,Single,No,Individual,1972-09-26,Male,N/A,Product Manager,0,35804000,8,315
2528,Trần Kiều Loan,"Phan Văn Lâu, Quận Tân Bình, TP.HCM",+842929922668,Married,Yes,Organization,1973-06-18,Female,Home Credit Vietnam,System Admin,1,14288000,8,705
2529,Hồ Thượng Khang,"Tổ 48, Quận Tân Phú, TP.HCM",+84991042952,Single,No,Individual,2001-10-06,Male,N/A,Project Manager,1,25833000,1,801
2530,Đặng Minh Hưng,"Cây Gỏ, Huyện Củ Chi, TP.HCM",+842992874174,Married,Yes,Organization,1993-03-30,Male,Employment Hero,Embedded Engineer,8,61967000,2,564
2531,Đặng Liên Như,"Nguyễn Ngọc Lộc, Quận 10, TP.HCM",+842616787841,Married,Yes,Organization,1955-01-04,Female,Tyme,DevOps,2,19816000,3,819
2532,Đoàn Trung Dũng,"Đường số 27, Thành phố Thủ Đức, TP.HCM",+842978262877,Single,Yes,Organization,1971-08-30,Male,Zuhlke Engineering Vietnam,DevOps,7,64113000,8,753
2533,Huỳnh Ngọc Linh,"Đoàn Thị Điểm, Quận Phú Nhuận, TP.HCM",+842477931313,Single,Yes,Individual,1985-04-30,Female,N/A,QA-QC,9,46261000,9,438
2534,Trần Anh Tú,"Đường T12, Quận 12, TP.HCM",+842697230687,Single,Yes,Organization,1967-07-08,Male,Home Credit Vietnam,System Engineer,10,63793000,7,384
2535,Huỳnh Giang Thiên,"Trần Tướng Công, Quận 5, TP.HCM",+84980153231,Married,Yes,Individual,1988-08-18,Female,N/A,DevOps,3,22511000,6,645
2536,Nguyễn Ngọc Vy,"Đường số 15, Quận 4, TP.HCM",+84995575616,Single,No,Organization,1965-08-27,Female,Bosch Global Software Technologies Company Limited,Tester,5,45064000,1,670
2537,Đỗ Quang Minh,"Đường số 6, Quận 11, TP.HCM",+84897198507,Married,Yes,Organization,1989-04-20,Male,Trusting Social,IT Consultant,8,39264000,3,654
2538,Võ Lệ Quyên,"Hương lộ 2, Huyện Củ Chi, TP.HCM",+842925667731,Married,Yes,Individual,1992-06-07,Female,N/A,Cloud Engineer,2,19457000,4,617
2539,Hồ Diễm Phước,"Liên Ấp Hội Thạnh, Huyện Củ Chi, TP.HCM",+84398619317,Single,No,Organization,1959-05-01,Female,GeoComply (GeoTech Hub Vietnam),QA-QC,3,35328000,10,700
2540,Đỗ Quốc Hải,"Đường số 23, Quận Gò Vấp, TP.HCM",+84979147354,Married,Yes,Individual,1983-06-02,Male,N/A,DevSecOps Engineer,6,59309000,1,572
2541,Vũ Thanh Thiên,"Bà Điểm, Hóc Môn, TP.HCM",+84990406600,Married,Yes,Individual,1990-02-07,Female,N/A,Designer,8,43064000,6,780
2542,Trương Hưng Ðạo,"Tân Hóa, Quận 11, TP.HCM",+842576844248,Single,Yes,Individual,1961-07-11,Male,N/A,Tech Lead,9,46671000,7,330
2543,Phan Linh Phượng,"Trần Văn Dư, Quận Tân Bình, TP.HCM",+842912937701,Single,Yes,Organization,1959-02-16,Female,SmartOSC,QA-QC,5,57409000,6,493
2544,Trần Gia Phước,"Đinh Tiên Hoàng, Quận Bình Thạnh, TP.HCM",+84528070549,Married,Yes,Individual,1969-09-03,Male,N/A,Mobile Developer,7,32857000,7,652
2545,Đoàn Thiên Giang,"Phạm Hùng, Bình Chánh, TP.HCM",+84794886764,Single,No,Individual,1976-05-16,Female,N/A,Product Manager,0,20570000,4,479
2546,Đỗ Quỳnh Phương,"Phan Văn Trường, Quận 1, TP.HCM",+84774272855,Single,No,Individual,1995-07-25,Female,N/A,Embedded Engineer,10,70674000,3,377
2547,Vũ Khánh Ðan,"Đường số 11, Quận 9, TP.HCM",+84999165178,Single,No,Organization,1984-09-20,Male,Trusting Social,ERP ConsultantSolution Architect,9,49616000,2,419
2548,Vũ Uy Vũ,"Chánh Hưng Nối Dài, Nhà Bè, TP.HCM",+842756589325,Married,Yes,Organization,1989-07-27,Male,NAB Innovation Centre Vietnam,Data Analyst,6,30907000,5,718
2549,Ngô Mỹ Hạnh,"Hoàng Ngọc Phách, Quận Tân Phú, TP.HCM",+842932356190,Married,Yes,Individual,1987-03-12,Female,N/A,Designer,0,3452000,4,371
2550,Trương Ðức Trí,"Đào Sư Tích, Nhà Bè, TP.HCM",+842921399585,Married,Yes,Individual,2000-10-07,Male,N/A,Database Engineer,1,13369000,6,688
2551,Vũ Ðức Phi,"Đông Thạnh 2, Hóc Môn, TP.HCM",+84914590118,Married,Yes,Organization,1979-08-15,Male,Tyme,Back-end Developer,2,17430000,5,707
2552,Trương Thuần Hậu,"Học Lạc, Quận 5, TP.HCM",+84995506824,Single,Yes,Organization,1957-02-25,Female,Absolute Software (Vietnam) Ltd,Database Engineer,9,57264000,5,450
2553,Bùi Hùng Tường,"Chợ Lớn, Quận 6, TP.HCM",+842737972834,Married,Yes,Organization,1984-06-24,Male,"Niteco Vietnam Co., Ltd",ERP Engineer,8,63841000,6,512
2554,Trần Bảo Tín,"Luther King, Quận 7, TP.HCM",+842614640215,Single,No,Individual,1996-02-08,Male,N/A,Data Analyst,10,71652000,7,807
2555,Ngô Việt Phương,"Đường số 31, Quận Gò Vấp, TP.HCM",+84886846002,Married,Yes,Organization,1993-01-02,Male,Absolute Software (Vietnam) Ltd,Back-end Developer,2,16095000,5,756
2556,Nguyễn Hồng Hà,"Tân Hòa Đông, Quận 6, TP.HCM",+842910682876,Married,Yes,Organization,1976-02-19,Female,Tyme,Project Leader,6,48831000,0,611
2557,Ngô Ðức Chính,"Lương Khải Siêu, Thành phố Thủ Đức, TP.HCM",+842609296762,Married,Yes,Organization,1969-09-17,Male,FPT IS,Database Engineer,5,52633000,8,302
2558,Phạm Bảo Lễ,"Trầm Lầy 1, Bình Chánh, TP.HCM",+84999463906,Single,No,Individual,1993-09-11,Female,N/A,Back-end Developer,10,73962000,2,505
2559,Đặng Kiều Mai,"Đường số 18, Quận 4, TP.HCM",+84990910448,Married,Yes,Organization,1989-03-26,Female,GeoComply (GeoTech Hub Vietnam),Tester,10,48453000,0,582
2560,Lý Quốc Trường,"Đào Văn Thử, Huyện Củ Chi, TP.HCM",+84930005872,Married,Yes,Individual,1993-01-11,Male,N/A,Blockchain Engineer,7,56640000,7,708
2561,Trần Phúc Nguyên,"2 Đường số 37, Quận 3, TP.HCM",+842979250562,Single,Yes,Individual,1995-10-05,Male,N/A,Product Manager,10,68042000,3,719
2562,Phạm Hải Lý,"2 Đường số 13A, Quận Bình Tân, TP.HCM",+84896951186,Married,Yes,Organization,1987-10-18,Male,Employment Hero,Mobile Developer,2,15678000,10,659
2563,Hồ Diệu Thúy,"Đường số 5, Quận Bình Thạnh, TP.HCM",+842990933803,Married,Yes,Individual,1970-11-14,Female,N/A,System Engineer,7,62655000,10,670
2564,Vũ Thiên Mai,"Ấp Hưng Lân, Bình Chánh, TP.HCM",+842874729983,Married,Yes,Individual,1982-09-14,Female,N/A,Business Analyst,4,30606000,5,372
2565,Lý Tiểu Quỳnh,"Tân Chánh Hiệp 18, Quận 12, TP.HCM",+842480637558,Single,Yes,Individual,1990-11-25,Female,N/A,IT Manager,5,41245000,3,587
2566,Lý Việt Chính,"Đường số 17, Quận 2, TP.HCM",+84990876855,Married,Yes,Organization,1993-12-18,Male,Zuhlke Engineering Vietnam,AI Engineer,7,54347000,10,707
2567,Dương Khải Tâm,"Phổ Quang, Quận Phú Nhuận, TP.HCM",+84999436691,Single,Yes,Individual,1976-06-25,Female,N/A,Front-end Developer,6,33797000,4,332
2568,Bùi Tân Phước,"Đường số 22, Quận 11, TP.HCM",+842968676307,Married,Yes,Individual,1990-07-27,Male,N/A,Project Manager,4,39298000,5,590
2569,Phạm Ðắc Cường,"Khu Phố 2-01, Hóc Môn, TP.HCM",+84905618841,Married,Yes,Individual,1989-02-01,Male,N/A,Designer,8,30904000,10,678
2570,Phạm Chung Thủy,"Đường số 17, Thành phố Thủ Đức, TP.HCM",+84559683629,Married,Yes,Organization,1988-03-17,Male,Employment Hero,Data Analyst,3,24250000,2,491
2571,Đoàn Phi Nhung,"Ngô Y Linh, Quận Bình Tân, TP.HCM",+84991401222,Married,Yes,Individual,1991-03-11,Female,N/A,ERP ConsultantSolution Architect,9,64359000,5,662
2572,Hoàng Bằng Sơn,"Đường số 379, Quận 9, TP.HCM",+84995159820,Married,Yes,Organization,2001-12-19,Male,Trusting Social,QA-QC,2,16157000,0,418
2573,Võ Ngọc Trâm,"Đường số 3, Quận Gò Vấp, TP.HCM",+842694095093,Single,No,Organization,1999-06-07,Female,LG Electronics Development Vietnam (LGEDV),Database Engineer,7,53105000,4,403
2574,Phan Tùng Linh,"Đường số 2, Quận 8, TP.HCM",+842998777684,Married,Yes,Organization,1956-08-28,Female,Employment Hero,Data Analyst,5,46018000,8,313
2575,Hoàng Thành An,"Văn Chung, Quận Tân Bình, TP.HCM",+84523884955,Married,Yes,Individual,1985-08-01,Male,N/A,Embedded Engineer,0,3136000,6,794
2576,Võ Phước Nhân,"Lê Lộ, Quận Tân Phú, TP.HCM",+84994414635,Married,Yes,Organization,1956-04-20,Male,Home Credit Vietnam,Game Developer,10,59664000,10,511
2577,Võ Thiên Thảo,"Xuân Thới 23, Hóc Môn, TP.HCM",+84905356412,Single,No,Individual,1955-03-12,Female,N/A,Data Analyst,0,3138000,1,635
2578,Vũ Hiền Hòa,"Quảng Hiền, Quận Tân Bình, TP.HCM",+842740533991,Married,Yes,Organization,1987-08-11,Female,SmartOSC,Product Manager,4,24465000,9,713
2579,Đỗ Phương Dung,"Đường số 8, Quận 6, TP.HCM",+84996750502,Married,Yes,Organization,1973-07-06,Female,SmartOSC,Tester,5,57641000,7,635
2580,Trần Triều Thành,"Đường số 43, Quận 3, TP.HCM",+842964502484,Single,Yes,Individual,1969-05-04,Male,N/A,Mobile Developer,3,20156000,7,662
2581,Hoàng Tường Anh,"Trần Quang Diệu, Quận Phú Nhuận, TP.HCM",+84997693341,Single,Yes,Individual,1971-05-26,Male,N/A,Project Manager,5,41325000,5,670
2582,Ngô Thi Thi,"Nguyễn Văn Ni, Huyện Củ Chi, TP.HCM",+84820186288,Single,No,Individual,1999-04-07,Female,N/A,System Engineer,6,67279000,9,427
2583,Lý Kiều Hạnh,"Nguyễn Kim, Quận 5, TP.HCM",+84522986161,Married,Yes,Individual,1986-08-07,Female,N/A,Helpdesk,8,56664000,1,497
2584,Lý Thành Lợi,"Âu Dương Lân, Quận 8, TP.HCM",+842431213228,Married,Yes,Individual,1953-12-17,Male,N/A,Designer,6,58132000,2,578
2585,Võ Mai Hiền,"Lê Hồng Phong, Quận 10, TP.HCM",+842731355450,Single,No,Individual,1977-01-29,Female,N/A,IT Support,8,41108000,9,639
2586,Đỗ Mai Hiền,"Gia Phú, Quận 6, TP.HCM",+84523804911,Single,No,Individual,1972-11-10,Female,N/A,AI Engineer,8,57966000,1,553
2587,Lê Hướng Thiện,"Đường số 10B, Quận 4, TP.HCM",+842744477878,Single,No,Individual,1980-11-08,Male,N/A,ERP ConsultantSolution Architect,4,37951000,6,482
2588,Lý Hải Thảo,"Mạc Vân, Quận 8, TP.HCM",+842430009628,Married,Yes,Individual,1977-08-09,Female,N/A,Tech Lead,7,62082000,3,682
2589,Trần Quốc Văn,"Đường Trung Tâm, Quận Bình Tân, TP.HCM",+84897024350,Married,Yes,Organization,1984-06-08,Male,NFQ Asia,Cloud Engineer,0,3229000,8,798
2590,Huỳnh Long Quân,"Tản Đà, Quận 9, TP.HCM",+84993987575,Married,Yes,Individual,1961-04-16,Male,N/A,Back-end Developer,5,47566000,3,388
2591,Bùi Yến Oanh,"Nguyễn Tiểu La, Quận 10, TP.HCM",+84855241584,Married,Yes,Individual,1956-11-26,Female,N/A,System Admin,5,60290000,6,815
2592,Hoàng Ðức Chính,"Đường số 54, Quận Bình Tân, TP.HCM",+84783379563,Married,Yes,Organization,1991-11-16,Male,SmartOSC,ERP ConsultantSolution Architect,0,33171000,6,355
2593,Huỳnh Diệu Ngọc,"Nguyễn Thái Sơn, Quận Bình Thạnh, TP.HCM",+84837475121,Single,Yes,Individual,1977-11-11,Female,N/A,Tester,5,44445000,3,587
2594,Hồ Công Luận,"Lý Long Tường, Quận 7, TP.HCM",+842762477051,Married,Yes,Organization,1982-10-04,Male,Employment Hero,Blockchain Engineer,10,50878000,2,570
2595,Phạm Vân Thanh,"Bình Đông, Quận 8, TP.HCM",+842421006017,Single,Yes,Individual,1967-09-26,Female,N/A,Blockchain Engineer,2,15454000,10,578
2596,Huỳnh Ðức Tài,"Trần Cao Vân, Quận Phú Nhuận, TP.HCM",+842935641919,Married,Yes,Individual,1984-05-01,Male,N/A,Business Intelligence AnalystData Scientist,9,57226000,5,723
2597,Bùi Anh Quốc,"Mai Văn Ngọc, Quận Phú Nhuận, TP.HCM",+84899669866,Married,Yes,Organization,1955-08-23,Male,NFQ Asia,System Engineer,3,20009000,0,753
2598,Lê An Tâm,"Bùi Văn Ba, Quận 7, TP.HCM",+84844446717,Single,No,Organization,1971-01-11,Male,Employment Hero,IT Support,6,36234000,5,801
2599,Vũ Kiều Giang,"Đường số 29, Quận 8, TP.HCM",+84919847231,Married,Yes,Organization,1979-06-23,Female,GeoComply (GeoTech Hub Vietnam),Data Analyst,3,35286000,7,400
2600,Hồ Cương Quyết,"Lê Vĩnh Huy, Huyện Củ Chi, TP.HCM",+84970739447,Married,Yes,Individual,1970-03-09,Male,N/A,DevOps,9,66113000,8,552
2601,Lê Thái Sơn,"Lê Quang Định, Quận Bình Thạnh, TP.HCM",+842715663451,Single,Yes,Individual,1987-02-22,Male,N/A,Front-end Developer,9,66183000,6,526
2602,Trương Nhân Sâm,"Võ Văn Tần, Quận 11, TP.HCM",+842918606234,Married,Yes,Organization,1974-11-03,Male,NFQ Asia,Front-end Developer,3,30753000,7,597
2603,Phạm Khánh Hằng,"Đường số 40, Thành phố Thủ Đức, TP.HCM",+84559136791,Married,Yes,Organization,2006-04-24,Female,SmartOSC,Data Engineer,0,3167000,5,822
2604,Phạm Sơn Tùng,"Hà Văn Lao, Huyện Củ Chi, TP.HCM",+84860732678,Single,No,Organization,1998-05-05,Male,Tyme,Full-stack Developer,7,46408000,2,832
2605,Đỗ Bảo An,"Hương lộ 3, Quận Tân Phú, TP.HCM",+842733483283,Single,Yes,Individual,1992-03-20,Male,N/A,DevSecOps Engineer,4,27117000,5,665
2606,Đặng Mai Lan,"Yết Kiêu, Quận 5, TP.HCM",+842601296198,Single,Yes,Organization,1967-05-19,Female,Tyme,IT Support,2,17035000,7,729
2607,Đỗ Nhã Hồng,"Hàn Thuyên, Thành phố Thủ Đức, TP.HCM",+84990573417,Married,Yes,Organization,1995-03-08,Female,LG Electronics Development Vietnam (LGEDV),System Admin,6,60676000,0,553
2608,Đỗ Thùy Mi,"Vườn Lài, Quận 12, TP.HCM",+84898205630,Single,No,Individual,1972-02-03,Female,N/A,Helpdesk,1,10437000,3,501
2609,Đỗ Bích Hải,"Đường số 49, Quận 7, TP.HCM",+84884500060,Single,Yes,Organization,1955-12-06,Female,GeoComply (GeoTech Hub Vietnam),IT Support,0,4853000,2,488
2610,Ngô Thụy Uyên,"Đường số 52B, Quận Bình Tân, TP.HCM",+842903609128,Married,Yes,Organization,1993-11-03,Female,NFQ Asia,Front-end Developer,10,51459000,0,302
2611,Võ Huy Phong,"Cao Thắng, Quận Phú Nhuận, TP.HCM",+842924186462,Married,Yes,Individual,1965-06-19,Male,N/A,IT Consultant,5,50320000,0,618
2612,Hoàng Hiệp Hòa,"Nguyễn Tuyển, Quận 2, TP.HCM",+842764738490,Single,No,Organization,1992-02-24,Male,Hybrid Technologies,Data Analyst,9,53276000,3,580
2613,Đỗ Duy Thành,"Lý Tế Xuyên, Thành phố Thủ Đức, TP.HCM",+84993143316,Married,Yes,Individual,1992-06-13,Male,N/A,Embedded Engineer,0,4161000,7,341
